المنطقة,جنس المتبرع,جنسية المتبرع,طوعي,تعويضي,رخصة قيادة,ذاتي
منطقة الرياض,ذكر,سعودي,19637,9396,252,11
منطقة الرياض,ذكر,مقيم,12889,14484,377,0
منطقة الرياض,انثى,سعودي,4851,316,0,0
منطقة الرياض,انثى,مقيم,165,197,0,0
منطقة عسير,ذكر,سعودي,13537,7014,0,0
منطقة عسير,ذكر,مقيم,2026,2763,0,0
منطقة عسير,انثى,سعودي,331,37,0,0
منطقة عسير,انثى,مقيم,34,0,0,0
منطقة مكة المكرمة,ذكر,سعودي,20386,3472,84,0
منطقة مكة المكرمة,ذكر,مقيم,10175,1984,1595,0
منطقة مكة المكرمة,انثى,سعودي,975,122,0,0
منطقة مكة المكرمة,انثى,مقيم,269,66,2,0
المنطقة الشرقية,ذكر,سعودي,28819,3235,0,0
المنطقة الشرقية,ذكر,مقيم,5937,188,0,0
المنطقة الشرقية,انثى,سعودي,1723,79,0,0
المنطقة الشرقية,انثى,مقيم,133,9,0,0
منطقة المدينة المنورة,ذكر,سعودي,15930,10539,182,2
منطقة المدينة المنورة,ذكر,مقيم,4091,3448,170,0
منطقة المدينة المنورة,انثى,سعودي,255,90,1,0
منطقة المدينة المنورة,انثى,مقيم,56,34,1,0
منطقة القصيم,ذكر,سعودي,13808,2998,0,0
منطقة القصيم,ذكر,مقيم,998,753,0,0
منطقة القصيم,انثى,سعودي,429,19,0,0
منطقة القصيم,انثى,مقيم,458,4,0,0
منطقة حائل ,ذكر,سعودي,9968,48,0,9
منطقة حائل ,ذكر,مقيم,531,25,0,0
منطقة حائل ,انثى,سعودي,190,0,0,0
منطقة حائل ,انثى,مقيم,17,0,0,0
منطقة جازان,ذكر,سعودي,18943,7415,955,0
منطقة جازان,ذكر,مقيم,337,85,9,0
منطقة جازان,انثى,سعودي,5348,2229,533,5
منطقة جازان,انثى,مقيم,39,31,17,0
منطقة نجران,ذكر,سعودي,8200,999,0,0
منطقة نجران,ذكر,مقيم,2390,24,0,0
منطقة نجران,انثى,سعودي,300,182,0,0
منطقة نجران,انثى,مقيم,11,0,0,0
منطقة الحدود الشمالية,ذكر,سعودي,4978,236,8,0
منطقة الحدود الشمالية,ذكر,مقيم,789,84,86,0
منطقة الحدود الشمالية,انثى,سعودي,72,4,0,0
منطقة الحدود الشمالية,انثى,مقيم,6,0,0,0
منطقة الجوف,ذكر,سعودي,5604,830,413,0
منطقة الجوف,ذكر,مقيم,557,106,160,0
منطقة الجوف,انثى,سعودي,85,6,21,0
منطقة الجوف,انثى,مقيم,13,2,50,0
منطقة تبوك,ذكر,سعودي,9373,692,0,0
منطقة تبوك,ذكر,مقيم,1858,224,0,0
منطقة تبوك,انثى,سعودي,206,1,0,0
منطقة تبوك,انثى,مقيم,11,0,0,0
منطقة الباحة,ذكر,سعودي,5900,1128,87,0
منطقة الباحة,ذكر,مقيم,938,176,68,0
منطقة الباحة,انثى,سعودي,275,20,7,0
منطقة الباحة,انثى,مقيم,17,5,4,0
محافظة بيشة,ذكر,سعودي,3968,417,87,0
محافظة بيشة,ذكر,مقيم,585,146,54,0
محافظة بيشة,انثى,سعودي,154,6,12,0
محافظة بيشة,انثى,مقيم,15,5,0,0
محافظة القنفذة,ذكر,سعودي,4339,598,597,0
محافظة القنفذة,ذكر,مقيم,964,203,531,0
محافظة القنفذة,انثى,سعودي,158,0,0,0
محافظة القنفذة,انثى,مقيم,12,0,0,0
محافظة حفر الباطن,ذكر,سعودي,4968,261,0,0
محافظة حفر الباطن,ذكر,مقيم,1001,110,0,0
محافظة حفر الباطن,انثى,سعودي,100,4,0,0
محافظة حفر الباطن,انثى,مقيم,6,1,0,0
محافظة الطائف,ذكر,سعودي,10715,0,0,0
محافظة الطائف,ذكر,مقيم,1973,0,0,0
محافظة الطائف,انثى,سعودي,705,0,0,0
محافظة الطائف,انثى,مقيم,105,0,0,0
محافظة القريات,ذكر,سعودي,3132,57,0,0
محافظة القريات,ذكر,مقيم,368,0,0,0
محافظة القريات,انثى,سعودي,13,0,0,0
محافظة القريات,انثى,مقيم,2,0,0,0
محافظة جدة,ذكر,سعودي,21126,7185,0,0
محافظة جدة,ذكر,مقيم,13502,5402,0,0
محافظة جدة,انثى,سعودي,676,297,0,0
محافظة جدة,انثى,مقيم,340,160,0,0
محافظة الإحساء,ذكر,سعودي,16060,2382,0,0
محافظة الإحساء,ذكر,مقيم,613,150,0,0
محافظة الإحساء,انثى,سعودي,436,61,0,0
محافظة الإحساء,انثى,مقيم,13,2,0,0